Item_ID,Item_Category,Item_MRP,Item_Visibility,Item_Fat_Content,Outlet_ID,Outlet_Type,Outlet_Size,Outlet_Location_Type,Outlet_Establishment_Year,Festival_Flag,Discount_Percentage,Units_Sold
ITM_00076,Clothing,283.85,0.24,Non Edible,OUT_075,Supermarket Type1,Small,Tier 1,2008,0,6,92
ITM_00077,Drinks,431.73,0.16,Regular,OUT_076,Supermarket Type3,Large,Tier 1,2002,0,15,119
ITM_00078,Drinks,247.57,0.12,Regular,OUT_077,Supermarket Type3,Small,Tier 2,2015,0,36,132
ITM_00079,Personal Care,21.97,0.21,Low Fat,OUT_078,Supermarket Type3,Small,Tier 3,1994,0,48,129
ITM_00080,Drinks,25.29,0.27,Regular,OUT_079,Grocery Store,Medium,Tier 2,2010,0,10,88
ITM_00081,Drinks,219.99,0.1,Non Edible,OUT_080,Grocery Store,Small,Tier 2,2013,0,49,166
ITM_00082,Electronics,94.4,0.14,Regular,OUT_081,Supermarket Type1,Medium,Tier 1,1986,0,4,96
ITM_00083,Personal Care,338.94,0.08,Non Edible,OUT_082,Supermarket Type2,Medium,Tier 2,2014,0,28,113
ITM_00084,Electronics,360.22,0.06,Low Fat,OUT_083,Supermarket Type3,Small,Tier 3,2023,0,24,101
ITM_00085,Electronics,105.38,0.24,Non Edible,OUT_084,Supermarket Type3,Small,Tier 2,1994,1,2,87
ITM_00086,Personal Care,446.5,0.07,Non Edible,OUT_085,Supermarket Type3,Large,Tier 2,1996,0,31,121
ITM_00087,Food,232.12,0.24,Non Edible,OUT_086,Supermarket Type1,Large,Tier 2,2004,0,29,102
ITM_00088,Electronics,88.57,0.13,Non Edible,OUT_087,Supermarket Type2,Small,Tier 3,2003,0,19,88
ITM_00089,Clothing,386.84,0.3,Non Edible,OUT_088,Supermarket Type2,Medium,Tier 2,1990,1,29,136
ITM_00090,Clothing,399.19,0.07,Non Edible,OUT_089,Supermarket Type2,Medium,Tier 1,2007,0,2,79
ITM_00091,Drinks,326.86,0.04,Non Edible,OUT_090,Supermarket Type3,Large,Tier 2,2003,0,43,163
ITM_00092,Clothing,429.66,0.03,Non Edible,OUT_091,Grocery Store,Medium,Tier 2,2015,0,14,79
ITM_00093,Drinks,373.94,0.25,Non Edible,OUT_092,Supermarket Type3,Large,Tier 1,2017,1,40,185
ITM_00094,Food,443.46,0.14,Low Fat,OUT_093,Supermarket Type2,Medium,Tier 1,1986,1,13,144
ITM_00095,Personal Care,228.27,0.01,Non Edible,OUT_094,Supermarket Type1,Small,Tier 1,1999,1,39,181
ITM_00096,Personal Care,378.85,0.26,Non Edible,OUT_095,Supermarket Type2,Small,Tier 1,1995,0,49,183
ITM_00097,Personal Care,499.88,0.26,Regular,OUT_096,Supermarket Type3,Medium,Tier 1,2010,0,9,89
ITM_00098,Clothing,367.97,0.24,Regular,OUT_097,Grocery Store,Large,Tier 1,2002,0,16,99
ITM_00099,Food,74.81,0.08,Regular,OUT_098,Supermarket Type2,Small,Tier 3,1985,0,14,70
ITM_00100,Clothing,268.79,0.12,Non Edible,OUT_099,Grocery Store,Large,Tier 2,2016,0,28,79
ITM_00101,Clothing,301.93,0.23,Low Fat,OUT_000,Supermarket Type2,Small,Tier 3,1988,0,33,136
ITM_00102,Food,103.62,0.15,Low Fat,OUT_001,Grocery Store,Medium,Tier 3,2006,0,34,116
ITM_00103,Food,482.19,0.05,Regular,OUT_002,Grocery Store,Small,Tier 1,2020,0,8,123
ITM_00104,Food,104.28,0.08,Regular,OUT_003,Supermarket Type2,Medium,Tier 2,2013,0,50,144
ITM_00105,Food,105.23,0.29,Non Edible,OUT_004,Supermarket Type1,Large,Tier 3,2020,0,16,79
ITM_00106,Personal Care,459.28,0.05,Low Fat,OUT_005,Supermarket Type3,Small,Tier 2,2017,0,1,63
ITM_00107,Household,243.3,0.22,Low Fat,OUT_006,Supermarket Type3,Large,Tier 2,2023,0,25,100
ITM_00108,Household,50.33,0.15,Regular,OUT_007,Supermarket Type2,Large,Tier 1,1998,0,37,143
ITM_00109,Food,307.13,0.23,Low Fat,OUT_008,Grocery Store,Medium,Tier 2,2021,1,42,140
ITM_00110,Household,308.88,0.2,Regular,OUT_009,Supermarket Type3,Large,Tier 3,1989,0,27,131
ITM_00111,Household,50.96,0.14,Regular,OUT_010,Grocery Store,Small,Tier 3,2006,0,29,93
ITM_00112,Food,486.81,0.11,Non Edible,OUT_011,Supermarket Type1,Medium,Tier 1,1989,0,42,199
ITM_00113,Household,281.13,0.23,Regular,OUT_012,Supermarket Type2,Medium,Tier 3,2021,1,8,89
ITM_00114,Clothing,288.7,0.1,Non Edible,OUT_013,Supermarket Type1,Medium,Tier 1,2022,0,27,152
ITM_00115,Drinks,269.66,0.24,Low Fat,OUT_014,Grocery Store,Large,Tier 3,2018,0,15,81
ITM_00116,Drinks,313.15,0.21,Low Fat,OUT_015,Grocery Store,Small,Tier 3,1999,0,23,99
ITM_00117,Food,146.86,0.18,Regular,OUT_016,Supermarket Type2,Small,Tier 1,2021,1,21,147
ITM_00118,Personal Care,157.88,0.12,Regular,OUT_017,Grocery Store,Small,Tier 2,2011,0,19,79
ITM_00119,Food,265.44,0.07,Non Edible,OUT_018,Supermarket Type2,Medium,Tier 1,1985,0,13,99
ITM_00120,Personal Care,407.21,0.22,Non Edible,OUT_019,Supermarket Type2,Medium,Tier 2,2013,0,42,129
ITM_00121,Drinks,43.93,0.04,Low Fat,OUT_020,Supermarket Type1,Small,Tier 2,1992,1,31,149
ITM_00122,Food,309.63,0.29,Low Fat,OUT_021,Supermarket Type3,Large,Tier 1,2017,1,9,120
ITM_00123,Electronics,407.25,0.29,Regular,OUT_022,Supermarket Type3,Medium,Tier 1,1991,0,1,58
ITM_00124,Clothing,95.32,0.05,Regular,OUT_023,Grocery Store,Small,Tier 1,2013,0,6,79
ITM_00125,Household,27.21,0.04,Non Edible,OUT_024,Supermarket Type3,Large,Tier 2,2015,0,0,56
ITM_00126,Personal Care,170.1,0.13,Regular,OUT_025,Grocery Store,Medium,Tier 2,2022,0,36,106
ITM_00127,Electronics,302.31,0.29,Non Edible,OUT_026,Supermarket Type3,Medium,Tier 2,1992,0,14,49
ITM_00128,Household,86.38,0.13,Low Fat,OUT_027,Supermarket Type1,Medium,Tier 2,2015,0,10,66
ITM_00129,Household,224.54,0.12,Low Fat,OUT_028,Supermarket Type3,Small,Tier 1,2021,0,19,80
ITM_00130,Food,285.11,0.21,Regular,OUT_029,Grocery Store,Medium,Tier 1,1999,0,49,169
ITM_00131,Household,307.46,0.06,Non Edible,OUT_030,Grocery Store,Medium,Tier 2,2016,0,40,128
ITM_00132,Clothing,151.72,0.12,Regular,OUT_031,Supermarket Type3,Large,Tier 3,2010,0,32,117
ITM_00133,Electronics,212.01,0.09,Regular,OUT_032,Supermarket Type2,Small,Tier 1,1995,0,37,155
ITM_00134,Household,393.6,0.18,Non Edible,OUT_033,Supermarket Type1,Large,Tier 3,2007,0,19,61
ITM_00135,Food,471.78,0.06,Regular,OUT_034,Supermarket Type2,Medium,Tier 3,2018,0,9,62
ITM_00136,Clothing,433.7,0.17,Non Edible,OUT_035,Supermarket Type3,Small,Tier 3,2017,0,31,114
ITM_00137,Drinks,290.86,0.26,Non Edible,OUT_036,Supermarket Type2,Small,Tier 2,2001,0,35,115
ITM_00138,Electronics,216.94,0.16,Regular,OUT_037,Supermarket Type3,Medium,Tier 1,2017,0,49,159
ITM_00139,Household,179.82,0.21,Non Edible,OUT_038,Grocery Store,Small,Tier 3,1986,0,11,69
ITM_00140,Food,79.98,0.03,Low Fat,OUT_039,Supermarket Type2,Small,Tier 2,1988,0,24,110
ITM_00141,Drinks,71.14,0.14,Low Fat,OUT_040,Supermarket Type1,Large,Tier 1,1996,0,8,75
ITM_00142,Drinks,350.41,0.04,Low Fat,OUT_041,Supermarket Type2,Small,Tier 2,2013,1,48,154
ITM_00143,Personal Care,144.7,0.18,Low Fat,OUT_042,Grocery Store,Small,Tier 1,2023,0,16,131
ITM_00144,Clothing,142.24,0.09,Regular,OUT_043,Grocery Store,Large,Tier 1,2003,0,13,107
ITM_00145,Household,499.13,0.09,Low Fat,OUT_044,Grocery Store,Medium,Tier 2,1986,0,23,85
ITM_00146,Food,110.2,0.03,Low Fat,OUT_045,Supermarket Type2,Large,Tier 3,1991,0,40,121
ITM_00147,Personal Care,91.07,0.1,Low Fat,OUT_046,Grocery Store,Medium,Tier 1,2006,0,50,178
ITM_00148,Clothing,67.37,0.16,Low Fat,OUT_047,Grocery Store,Medium,Tier 1,1995,0,44,177
ITM_00149,Personal Care,298.31,0.18,Regular,OUT_048,Supermarket Type2,Medium,Tier 3,2017,0,2,24
ITM_00150,Electronics,321.37,0.03,Low Fat,OUT_049,Supermarket Type2,Large,Tier 1,2004,0,49,170
ITM_00151,Clothing,195.31,0.2,Non Edible,OUT_050,Supermarket Type3,Medium,Tier 3,1989,1,40,186
ITM_00152,Clothing,277.0,0.15,Non Edible,OUT_051,Supermarket Type2,Large,Tier 1,1988,0,15,116
ITM_00153,Household,398.43,0.17,Regular,OUT_052,Grocery Store,Large,Tier 3,1998,0,17,88
ITM_00154,Clothing,412.69,0.25,Regular,OUT_053,Supermarket Type1,Medium,Tier 1,1987,1,38,192
ITM_00155,Personal Care,479.8,0.11,Regular,OUT_054,Grocery Store,Medium,Tier 1,2002,0,49,178
ITM_00156,Clothing,415.65,0.06,Low Fat,OUT_055,Grocery Store,Large,Tier 1,2011,0,13,96
ITM_00157,Household,291.12,0.17,Regular,OUT_056,Grocery Store,Large,Tier 3,1988,0,9,52
ITM_00158,Household,106.24,0.28,Low Fat,OUT_057,Supermarket Type2,Medium,Tier 1,1987,1,9,138
ITM_00159,Electronics,67.89,0.16,Regular,OUT_058,Supermarket Type1,Medium,Tier 2,2011,0,5,45
ITM_00160,Personal Care,46.17,0.25,Non Edible,OUT_059,Grocery Store,Medium,Tier 2,2012,0,2,48
ITM_00161,Drinks,339.93,0.23,Non Edible,OUT_060,Supermarket Type2,Large,Tier 2,2006,0,48,139
ITM_00162,Drinks,407.62,0.16,Low Fat,OUT_061,Supermarket Type3,Large,Tier 1,2013,0,21,148
ITM_00163,Clothing,264.17,0.2,Regular,OUT_062,Supermarket Type1,Large,Tier 3,2000,1,1,81
ITM_00164,Electronics,46.26,0.13,Non Edible,OUT_063,Supermarket Type1,Medium,Tier 3,2019,0,38,138
ITM_00165,Food,277.03,0.16,Low Fat,OUT_064,Supermarket Type2,Small,Tier 1,2003,0,11,106
ITM_00166,Clothing,469.16,0.16,Non Edible,OUT_065,Supermarket Type3,Small,Tier 2,2014,1,0,81
ITM_00167,Electronics,306.85,0.22,Regular,OUT_066,Grocery Store,Small,Tier 3,1999,0,36,94
ITM_00168,Personal Care,408.53,0.13,Low Fat,OUT_067,Supermarket Type3,Small,Tier 1,1989,1,12,138
ITM_00169,Personal Care,404.07,0.04,Non Edible,OUT_068,Supermarket Type1,Small,Tier 3,2015,0,31,123
ITM_00170,Personal Care,467.42,0.24,Regular,OUT_069,Supermarket Type2,Large,Tier 2,2015,0,24,70
ITM_00171,Personal Care,389.71,0.21,Low Fat,OUT_070,Supermarket Type3,Medium,Tier 2,1993,0,50,154
ITM_00172,Personal Care,378.9,0.29,Non Edible,OUT_071,Grocery Store,Medium,Tier 3,1997,0,37,132
ITM_00173,Electronics,132.37,0.13,Non Edible,OUT_072,Supermarket Type3,Medium,Tier 1,2005,0,4,84
ITM_00174,Electronics,48.76,0.03,Low Fat,OUT_073,Supermarket Type3,Medium,Tier 1,2015,0,36,164
ITM_00175,Household,268.45,0.05,Regular,OUT_074,Supermarket Type2,Medium,Tier 3,1985,0,17,84
ITM_00176,Drinks,79.73,0.23,Low Fat,OUT_075,Supermarket Type2,Small,Tier 2,1997,0,9,67
ITM_00177,Personal Care,481.85,0.03,Non Edible,OUT_076,Supermarket Type1,Medium,Tier 1,2018,1,18,177
ITM_00178,Food,159.16,0.27,Non Edible,OUT_077,Supermarket Type2,Medium,Tier 3,2020,0,33,81
ITM_00179,Electronics,429.41,0.09,Non Edible,OUT_078,Supermarket Type3,Small,Tier 3,2000,1,29,132
ITM_00180,Food,206.06,0.27,Regular,OUT_079,Grocery Store,Medium,Tier 2,1994,0,31,119
ITM_00181,Food,175.13,0.23,Non Edible,OUT_080,Supermarket Type1,Small,Tier 2,2022,1,10,122
ITM_00182,Food,468.88,0.26,Non Edible,OUT_081,Supermarket Type2,Small,Tier 1,2018,1,21,130
ITM_00183,Household,194.39,0.07,Low Fat,OUT_082,Supermarket Type3,Large,Tier 1,2009,1,29,198
ITM_00184,Electronics,207.34,0.18,Non Edible,OUT_083,Supermarket Type3,Medium,Tier 1,1985,0,0,34
ITM_00185,Food,70.92,0.04,Low Fat,OUT_084,Supermarket Type1,Medium,Tier 2,1996,1,5,107
ITM_00186,Personal Care,341.81,0.07,Non Edible,OUT_085,Supermarket Type1,Medium,Tier 3,2006,1,13,116
ITM_00187,Clothing,158.64,0.1,Low Fat,OUT_086,Supermarket Type2,Small,Tier 1,2006,1,2,109
ITM_00188,Food,301.09,0.22,Low Fat,OUT_087,Supermarket Type2,Large,Tier 1,1986,0,38,137
ITM_00189,Household,303.85,0.02,Low Fat,OUT_088,Grocery Store,Medium,Tier 1,1992,1,14,137
ITM_00190,Electronics,365.22,0.27,Low Fat,OUT_089,Supermarket Type1,Small,Tier 3,2017,0,30,96
ITM_00191,Household,377.72,0.03,Regular,OUT_090,Supermarket Type1,Small,Tier 1,1989,0,18,144
ITM_00192,Food,266.94,0.12,Non Edible,OUT_091,Supermarket Type3,Small,Tier 1,1994,0,21,129
ITM_00193,Electronics,178.88,0.03,Regular,OUT_092,Grocery Store,Small,Tier 2,1987,0,6,82
ITM_00194,Clothing,421.98,0.23,Non Edible,OUT_093,Supermarket Type2,Large,Tier 2,1995,0,26,87
ITM_00195,Food,168.74,0.05,Low Fat,OUT_094,Grocery Store,Large,Tier 2,2014,0,34,119
ITM_00196,Household,263.6,0.27,Non Edible,OUT_095,Grocery Store,Small,Tier 3,2012,1,42,147
ITM_00197,Drinks,212.6,0.16,Low Fat,OUT_096,Supermarket Type3,Medium,Tier 2,1989,0,4,47
ITM_00198,Personal Care,430.44,0.29,Non Edible,OUT_097,Supermarket Type1,Large,Tier 1,1996,0,45,150
ITM_00199,Household,227.32,0.09,Low Fat,OUT_098,Supermarket Type1,Medium,Tier 1,2013,0,34,151
ITM_00200,Electronics,205.33,0.14,Non Edible,OUT_099,Supermarket Type1,Medium,Tier 3,2010,0,35,103
ITM_00201,Food,351.12,0.21,Non Edible,OUT_000,Supermarket Type2,Large,Tier 3,2013,0,36,101
ITM_00202,Personal Care,309.17,0.25,Non Edible,OUT_001,Supermarket Type1,Medium,Tier 1,2013,1,22,159
ITM_00203,Food,71.48,0.13,Low Fat,OUT_002,Grocery Store,Large,Tier 3,1998,0,35,113
ITM_00204,Electronics,263.92,0.27,Non Edible,OUT_003,Grocery Store,Large,Tier 1,2020,0,3,64
ITM_00205,Food,373.03,0.04,Low Fat,OUT_004,Supermarket Type1,Medium,Tier 2,2019,1,1,77
ITM_00206,Drinks,496.2,0.22,Regular,OUT_005,Grocery Store,Medium,Tier 1,1992,0,36,132
ITM_00207,Personal Care,321.99,0.11,Non Edible,OUT_006,Supermarket Type2,Small,Tier 3,2000,0,34,125
ITM_00208,Personal Care,197.74,0.04,Low Fat,OUT_007,Supermarket Type1,Large,Tier 2,1989,0,45,144
ITM_00209,Electronics,128.55,0.12,Low Fat,OUT_008,Supermarket Type2,Medium,Tier 1,2000,1,3,109
ITM_00210,Drinks,438.96,0.27,Low Fat,OUT_009,Supermarket Type1,Large,Tier 3,1997,0,47,122
ITM_00211,Household,410.99,0.29,Regular,OUT_010,Supermarket Type2,Small,Tier 3,1992,0,3,27
ITM_00212,Food,132.28,0.12,Low Fat,OUT_011,Supermarket Type2,Small,Tier 2,2010,0,5,49
ITM_00213,Clothing,116.3,0.27,Regular,OUT_012,Supermarket Type2,Small,Tier 1,1989,0,50,171
ITM_00214,Food,363.27,0.16,Regular,OUT_013,Grocery Store,Small,Tier 1,1993,1,16,132
ITM_00215,Food,171.18,0.22,Low Fat,OUT_014,Supermarket Type2,Small,Tier 3,2022,0,3,80
ITM_00216,Household,167.07,0.02,Non Edible,OUT_015,Supermarket Type3,Small,Tier 2,1986,0,21,100
ITM_00217,Food,93.1,0.17,Regular,OUT_016,Supermarket Type2,Small,Tier 1,1991,1,20,152
ITM_00218,Drinks,146.71,0.03,Low Fat,OUT_017,Supermarket Type2,Small,Tier 2,2014,0,11,72
ITM_00219,Drinks,225.2,0.09,Regular,OUT_018,Supermarket Type2,Large,Tier 3,2001,0,6,37
ITM_00220,Personal Care,371.76,0.17,Low Fat,OUT_019,Supermarket Type2,Medium,Tier 1,2015,0,47,149
ITM_00221,Electronics,181.43,0.24,Low Fat,OUT_020,Supermarket Type1,Large,Tier 3,1985,0,27,114
ITM_00222,Clothing,177.73,0.17,Regular,OUT_021,Grocery Store,Large,Tier 1,2012,1,45,227
ITM_00223,Food,156.76,0.28,Low Fat,OUT_022,Grocery Store,Medium,Tier 3,2014,1,12,69
ITM_00224,Food,249.58,0.24,Regular,OUT_023,Grocery Store,Medium,Tier 1,2015,0,42,161
ITM_00225,Household,106.71,0.06,Low Fat,OUT_024,Supermarket Type1,Small,Tier 2,2008,0,42,152
ITM_00226,Electronics,253.1,0.12,Non Edible,OUT_025,Supermarket Type2,Medium,Tier 1,2015,1,32,174
ITM_00227,Drinks,358.0,0.2,Non Edible,OUT_026,Supermarket Type2,Large,Tier 1,1995,0,39,172
ITM_00228,Clothing,34.3,0.28,Regular,OUT_027,Grocery Store,Small,Tier 3,2000,0,12,74
ITM_00229,Personal Care,24.69,0.3,Regular,OUT_028,Supermarket Type3,Large,Tier 1,1993,1,3,120
ITM_00230,Drinks,56.06,0.23,Regular,OUT_029,Supermarket Type2,Medium,Tier 1,2014,0,24,115
ITM_00231,Electronics,277.12,0.18,Regular,OUT_030,Supermarket Type2,Large,Tier 1,1996,0,50,174
ITM_00232,Personal Care,430.14,0.23,Non Edible,OUT_031,Supermarket Type2,Large,Tier 3,2000,0,19,72
ITM_00233,Household,22.34,0.09,Regular,OUT_032,Supermarket Type1,Small,Tier 1,2017,0,37,154
ITM_00234,Household,469.6,0.09,Low Fat,OUT_033,Supermarket Type2,Small,Tier 2,1990,0,34,118
ITM_00235,Food,71.01,0.2,Low Fat,OUT_034,Grocery Store,Large,Tier 2,1985,1,8,91
ITM_00236,Electronics,424.15,0.26,Regular,OUT_035,Supermarket Type2,Medium,Tier 3,1997,0,50,110
ITM_00237,Clothing,251.77,0.29,Low Fat,OUT_036,Grocery Store,Small,Tier 1,2021,0,29,123
ITM_00238,Personal Care,336.49,0.11,Regular,OUT_037,Supermarket Type3,Large,Tier 3,2019,0,38,106
